"YEAR","MONTH","DAY","RRG06","Date"
2000,1,3,0.06,2000-01-03
2000,1,4,0.44,2000-01-04
2000,1,8,0.03,2000-01-08
2000,1,9,1.05,2000-01-09
2000,1,10,1.4,2000-01-10
2000,1,13,0.03,2000-01-13
2000,1,16,0.03,2000-01-16
2000,1,17,0.01,2000-01-17
2000,1,18,0.5,2000-01-18
2000,1,19,0.3,2000-01-19
2000,1,20,0.06,2000-01-20
2000,1,22,0.84,2000-01-22
2000,1,23,0.46,2000-01-23
2000,1,29,0.48,2000-01-29
2000,1,30,0.26,2000-01-30
2000,2,12,0.84,2000-02-12
2000,2,13,1.05,2000-02-13
2000,2,14,0.34,2000-02-14
2000,2,17,0.03,2000-02-17
2000,2,18,0.02,2000-02-18
2000,2,19,0.29,2000-02-19
2000,2,27,0.49,2000-02-27
2000,3,3,0.03,2000-03-03
2000,3,4,0.11,2000-03-04
2000,3,11,1.84,2000-03-11
2000,3,16,1.08,2000-03-16
2000,3,17,0.03,2000-03-17
2000,3,19,0.55,2000-03-19
2000,3,20,1.33,2000-03-20
2000,3,27,0.28,2000-03-27
2000,3,29,0.02,2000-03-29
2000,3,30,0.03,2000-03-30
2000,4,2,1.62,2000-04-02
2000,4,3,3,2000-04-03
2000,4,4,0.13,2000-04-04
2000,4,8,0.06,2000-04-08
2000,4,13,0.31,2000-04-13
2000,4,14,0.07,2000-04-14
2000,4,15,0.12,2000-04-15
2000,4,21,0.11,2000-04-21
2000,4,24,0.61,2000-04-24
2000,4,25,0.09,2000-04-25
2000,4,27,0.04,2000-04-27
2000,4,28,0.58,2000-04-28
2000,5,3,0.12,2000-05-03
2000,5,4,0.55,2000-05-04
2000,5,21,0.92,2000-05-21
2000,5,23,0.11,2000-05-23
2000,5,24,0.03,2000-05-24
2000,5,25,0.15,2000-05-25
2000,5,27,0.45,2000-05-27
2000,5,28,0.06,2000-05-28
2000,6,4,0.06,2000-06-04
2000,6,5,1.18,2000-06-05
2000,6,13,0.1,2000-06-13
2000,6,14,0.09,2000-06-14
2000,6,15,0.19,2000-06-15
2000,6,16,0.35,2000-06-16
2000,6,17,0.03,2000-06-17
2000,6,18,0.06,2000-06-18
2000,6,19,0.32,2000-06-19
2000,6,20,0.08,2000-06-20
2000,6,21,0.05,2000-06-21
2000,6,22,0.35,2000-06-22
2000,6,25,0.01,2000-06-25
2000,6,27,0.11,2000-06-27
2000,6,28,0.24,2000-06-28
2000,6,29,0.58,2000-06-29
2000,7,6,0.12,2000-07-06
2000,7,11,0.38,2000-07-11
2000,7,12,0.21,2000-07-12
2000,7,19,0.17,2000-07-19
2000,7,24,0.36,2000-07-24
2000,7,26,0.28,2000-07-26
2000,7,27,0.09,2000-07-27
2000,7,28,0.59,2000-07-28
2000,7,30,0.93,2000-07-30
2000,7,31,0.12,2000-07-31
2000,8,1,0.42,2000-08-01
2000,8,2,0.65,2000-08-02
2000,8,3,0.05,2000-08-03
2000,8,4,0.28,2000-08-04
2000,8,10,0.06,2000-08-10
2000,8,11,0.15,2000-08-11
2000,8,18,0.03,2000-08-18
2000,8,20,0.31,2000-08-20
2000,8,27,0.12,2000-08-27
2000,8,30,0.03,2000-08-30
2000,8,31,0.04,2000-08-31
2000,9,1,0.35,2000-09-01
2000,9,2,0.18,2000-09-02
2000,9,6,0.08,2000-09-06
2000,9,7,0.04,2000-09-07
2000,9,8,0.05,2000-09-08
2000,9,20,0.1,2000-09-20
2000,9,21,1.48,2000-09-21
2000,9,22,0.25,2000-09-22
2000,9,23,0.03,2000-09-23
2000,9,24,0.16,2000-09-24
2000,9,25,0.74,2000-09-25
2000,11,4,0.11,2000-11-04
2000,11,6,0.02,2000-11-06
2000,11,7,0.33,2000-11-07
2000,11,8,0.25,2000-11-08
2000,11,9,5.54,2000-11-09
2000,11,16,0.5,2000-11-16
2000,11,17,0.07,2000-11-17
2000,11,19,0.39,2000-11-19
2000,11,24,0.48,2000-11-24
2000,11,25,1.31,2000-11-25
2000,12,2,0.03,2000-12-02
2000,12,3,0.25,2000-12-03
2000,12,11,0.05,2000-12-11
2000,12,12,0.05,2000-12-12
2000,12,13,0.41,2000-12-13
2000,12,14,0.47,2000-12-14
2000,12,15,0.03,2000-12-15
2000,12,16,1.79,2000-12-16
2000,12,17,0.09,2000-12-17
2000,12,19,0.21,2000-12-19
2000,12,27,0.1,2000-12-27
2000,12,30,0.03,2000-12-30
2001,1,7,0.04,2001-01-07
2001,1,8,0.25,2001-01-08
2001,1,11,0.14,2001-01-11
2001,1,12,0.48,2001-01-12
2001,1,14,0.01,2001-01-14
2001,1,17,0.22,2001-01-17
2001,1,18,1.2,2001-01-18
2001,1,19,2.38,2001-01-19
2001,1,20,0.01,2001-01-20
2001,1,29,0.66,2001-01-29
2001,1,30,0.57,2001-01-30
2001,2,9,0.07,2001-02-09
2001,2,10,0.43,2001-02-10
2001,2,11,0.06,2001-02-11
2001,2,12,0.24,2001-02-12
2001,2,13,0.22,2001-02-13
2001,2,14,0.22,2001-02-14
2001,2,15,0.18,2001-02-15
2001,2,16,1.22,2001-02-16
2001,2,17,0.04,2001-02-17
2001,2,21,0.09,2001-02-21
2001,2,22,0.83,2001-02-22
2001,2,24,0.16,2001-02-24
2001,2,25,1.48,2001-02-25
2001,3,3,0.44,2001-03-03
2001,3,4,0.23,2001-03-04
2001,3,12,1.32,2001-03-12
2001,3,13,0.06,2001-03-13
2001,3,15,1.17,2001-03-15
2001,3,20,1.31,2001-03-20
2001,3,28,0.04,2001-03-28
2001,3,29,1.85,2001-03-29
2001,3,30,0.1,2001-03-30
2001,4,3,0.17,2001-04-03
2001,4,12,0.08,2001-04-12
2001,4,13,0.54,2001-04-13
2001,4,15,0.33,2001-04-15
2001,4,24,0.02,2001-04-24
2001,4,25,0.04,2001-04-25
2001,4,30,0.84,2001-04-30
2001,5,5,0.06,2001-05-05
2001,5,6,0.15,2001-05-06
2001,5,9,0.34,2001-05-09
2001,5,11,0.18,2001-05-11
2001,5,21,0.18,2001-05-21
2001,5,22,0.22,2001-05-22
2001,5,24,0.68,2001-05-24
2001,5,25,0.7,2001-05-25
2001,5,28,0.5,2001-05-28
2001,5,29,0.05,2001-05-29
2001,5,31,0.5,2001-05-31
2001,6,1,0.99,2001-06-01
2001,6,3,0.04,2001-06-03
2001,6,6,0.06,2001-06-06
2001,6,7,0.11,2001-06-07
2001,6,8,0.43,2001-06-08
2001,6,15,0.13,2001-06-15
2001,6,20,0.26,2001-06-20
2001,6,22,0.5,2001-06-22
2001,6,25,0.14,2001-06-25
2001,6,26,2.71,2001-06-26
2001,6,27,0.43,2001-06-27
2001,6,29,1.02,2001-06-29
2001,6,30,0.45,2001-06-30
2001,7,2,0.01,2001-07-02
2001,7,3,0.44,2001-07-03
2001,7,4,0.21,2001-07-04
2001,7,8,0.1,2001-07-08
2001,7,9,0.03,2001-07-09
2001,7,24,0.09,2001-07-24
2001,7,25,0.43,2001-07-25
2001,7,26,0.16,2001-07-26
2001,7,27,0.05,2001-07-27
2001,7,29,0.5,2001-07-29
2001,8,1,0.1,2001-08-01
2001,8,2,0.58,2001-08-02
2001,8,3,0.08,2001-08-03
2001,8,4,0.26,2001-08-04
2001,8,7,0.05,2001-08-07
2001,8,10,0.43,2001-08-10
2001,8,12,1.4,2001-08-12
2001,8,13,0.93,2001-08-13
2001,8,25,0.06,2001-08-25
2001,8,26,0.07,2001-08-26
2001,8,28,0.22,2001-08-28
2001,8,29,0.18,2001-08-29
2001,8,31,0.25,2001-08-31
2001,9,1,0.41,2001-09-01
2001,9,2,0.23,2001-09-02
2001,9,3,0.3,2001-09-03
2001,9,4,0.55,2001-09-04
2001,9,19,1.21,2001-09-19
2001,9,20,1.63,2001-09-20
2001,9,23,1.09,2001-09-23
2001,9,24,2.17,2001-09-24
2001,10,5,0.06,2001-10-05
2001,10,6,0.41,2001-10-06
2001,10,11,0.11,2001-10-11
2001,10,12,0.48,2001-10-12
2001,10,13,0.36,2001-10-13
2001,10,14,1.71,2001-10-14
2001,10,24,0.06,2001-10-24
2001,10,25,0.25,2001-10-25
2001,11,23,1.25,2001-11-23
2001,11,24,0.82,2001-11-24
2001,11,25,0.25,2001-11-25
2001,11,29,0.03,2001-11-29
2001,11,30,0.71,2001-11-30
2001,12,10,1.38,2001-12-10
2001,12,13,0.3,2001-12-13
2001,12,14,0.42,2001-12-14
2001,12,17,0.75,2001-12-17
2001,12,23,0.78,2001-12-23
2002,1,2,0.05,2002-01-02
2002,1,3,0.05,2002-01-03
2002,1,6,0.86,2002-01-06
2002,1,11,0.06,2002-01-11
2002,1,18,0.05,2002-01-18
2002,1,19,2.45,2002-01-19
2002,1,21,0.75,2002-01-21
2002,1,22,0.15,2002-01-22
2002,1,23,1.41,2002-01-23
2002,1,24,1.19,2002-01-24
2002,1,25,0.07,2002-01-25
2002,1,31,0.12,2002-01-31
2002,2,1,0.17,2002-02-01
2002,2,3,0.05,2002-02-03
2002,2,6,1.46,2002-02-06
2002,2,7,0.28,2002-02-07
2002,2,10,0.04,2002-02-10
2002,2,20,0.55,2002-02-20
2002,2,26,0.07,2002-02-26
2002,3,2,1.65,2002-03-02
2002,3,3,0.14,2002-03-03
2002,3,9,0.4,2002-03-09
2002,3,12,1.16,2002-03-12
2002,3,13,0.6,2002-03-13
2002,3,16,0.2,2002-03-16
2002,3,17,0.46,2002-03-17
2002,3,18,0.06,2002-03-18
2002,3,20,0.22,2002-03-20
2002,3,21,0.38,2002-03-21
2002,3,26,0.62,2002-03-26
2002,3,30,1.51,2002-03-30
2002,3,31,0.33,2002-03-31
2002,4,9,1.36,2002-04-09
2002,4,10,0.12,2002-04-10
2002,4,12,0.06,2002-04-12
2002,4,13,0.09,2002-04-13
2002,4,14,0.33,2002-04-14
2002,4,17,0.05,2002-04-17
2002,4,18,0.05,2002-04-18
2002,4,24,0.08,2002-04-24
2002,4,25,0.47,2002-04-25
2002,4,26,0.02,2002-04-26
2002,4,28,0.09,2002-04-28
2002,4,30,0.07,2002-04-30
2002,5,1,0.94,2002-05-01
2002,5,2,0.52,2002-05-02
2002,5,3,0.42,2002-05-03
2002,5,4,1.79,2002-05-04
2002,5,9,0.16,2002-05-09
2002,5,10,0.17,2002-05-10
2002,5,13,0.91,2002-05-13
2002,5,17,0.82,2002-05-17
2002,5,18,0.8,2002-05-18
2002,5,27,0.22,2002-05-27
2002,5,31,0.28,2002-05-31
2002,6,3,0.17,2002-06-03
2002,6,4,0.16,2002-06-04
2002,6,5,0.2,2002-06-05
2002,6,6,0.56,2002-06-06
2002,6,13,0.15,2002-06-13
2002,6,14,0.03,2002-06-14
2002,6,20,0.16,2002-06-20
2002,6,23,0.09,2002-06-23
2002,6,25,1.43,2002-06-25
2002,6,26,0.27,2002-06-26
2002,6,27,0.08,2002-06-27
2002,6,28,0.07,2002-06-28
2002,6,29,0.36,2002-06-29
2002,7,1,0.21,2002-07-01
2002,7,10,0.02,2002-07-10
2002,7,11,0.21,2002-07-11
2002,7,12,0.16,2002-07-12
2002,7,13,1.05,2002-07-13
2002,7,14,0.04,2002-07-14
2002,7,15,0.09,2002-07-15
2002,7,22,0.03,2002-07-22
2002,7,24,0.12,2002-07-24
2002,7,25,0.55,2002-07-25
2002,7,26,0.02,2002-07-26
2002,8,1,0.03,2002-08-01
2002,8,2,0.02,2002-08-02
2002,8,4,0.03,2002-08-04
2002,8,15,0.59,2002-08-15
2002,8,16,0.55,2002-08-16
2002,8,17,0.12,2002-08-17
2002,8,18,0.16,2002-08-18
2002,8,19,0.09,2002-08-19
2002,8,25,1.54,2002-08-25
2002,8,26,0.99,2002-08-26
2002,9,13,0.22,2002-09-13
2002,9,14,1.82,2002-09-14
2002,9,15,0.94,2002-09-15
2002,9,16,0.02,2002-09-16
2002,9,17,0.02,2002-09-17
2002,9,18,0.13,2002-09-18
2002,9,20,0.45,2002-09-20
2002,9,21,1.36,2002-09-21
2002,9,22,0.28,2002-09-22
2002,9,25,2.11,2002-09-25
2002,9,26,2.68,2002-09-26
2002,9,27,1.48,2002-09-27
2002,9,29,0.05,2002-09-29
2002,10,4,0.06,2002-10-04
2002,10,5,0.23,2002-10-05
2002,10,7,0.03,2002-10-07
2002,10,10,0.92,2002-10-10
2002,10,11,0.33,2002-10-11
2002,10,14,0.02,2002-10-14
2002,10,15,2.46,2002-10-15
2002,10,16,0.01,2002-10-16
2002,10,20,0.06,2002-10-20
2002,10,25,0.2,2002-10-25
2002,10,28,0.61,2002-10-28
2002,10,29,0.32,2002-10-29
2002,10,30,0.04,2002-10-30
2002,11,3,0.08,2002-11-03
2002,11,4,0.04,2002-11-04
2002,11,5,1.1,2002-11-05
2002,11,6,0.07,2002-11-06
2002,11,9,0.2,2002-11-09
2002,11,10,0.52,2002-11-10
2002,11,11,1.57,2002-11-11
2002,11,12,0.58,2002-11-12
2002,11,15,0.82,2002-11-15
2002,11,16,0.73,2002-11-16
2002,11,19,0.06,2002-11-19
2002,11,20,0.2,2002-11-20
2002,11,21,0.57,2002-11-21
2002,11,26,0.08,2002-11-26
2002,12,2,0.05,2002-12-02
2002,12,4,1.45,2002-12-04
2002,12,5,0.5,2002-12-05
2002,12,10,0.77,2002-12-10
2002,12,11,0.08,2002-12-11
2002,12,13,1.03,2002-12-13
2002,12,19,1.49,2002-12-19
2002,12,20,0.32,2002-12-20
2002,12,22,0.08,2002-12-22
2002,12,23,0.01,2002-12-23
2002,12,24,2.19,2002-12-24
2002,12,25,0.16,2002-12-25
2002,12,31,0.89,2002-12-31
2003,1,1,0.35,2003-01-01
2003,1,2,0.44,2003-01-02
2003,1,3,0.08,2003-01-03
2003,1,9,0.05,2003-01-09
2003,1,10,0.02,2003-01-10
2003,1,16,0.24,2003-01-16
2003,1,21,0.11,2003-01-21
2003,1,29,0.84,2003-01-29
2003,1,30,0.09,2003-01-30
2003,2,4,0.87,2003-02-04
2003,2,6,0.75,2003-02-06
2003,2,7,0.16,2003-02-07
2003,2,9,0.13,2003-02-09
2003,2,10,0.4,2003-02-10
2003,2,14,1.56,2003-02-14
2003,2,15,0.07,2003-02-15
2003,2,16,1.06,2003-02-16
2003,2,20,0.02,2003-02-20
2003,2,21,0.23,2003-02-21
2003,2,22,2.67,2003-02-22
2003,2,23,0.02,2003-02-23
2003,2,25,0.11,2003-02-25
2003,2,26,0.7,2003-02-26
2003,2,27,0.43,2003-02-27
2003,3,5,0.55,2003-03-05
2003,3,6,1.27,2003-03-06
2003,3,13,0.1,2003-03-13
2003,3,14,0.1,2003-03-14
2003,3,15,0.4,2003-03-15
2003,3,16,0.28,2003-03-16
2003,3,17,0.28,2003-03-17
2003,3,18,0.07,2003-03-18
2003,3,19,0.74,2003-03-19
2003,3,20,0.69,2003-03-20
2003,3,29,0.11,2003-03-29
2003,3,30,0.67,2003-03-30
2003,4,5,0.85,2003-04-05
2003,4,6,0.42,2003-04-06
2003,4,7,0.81,2003-04-07
2003,4,8,0.23,2003-04-08
2003,4,9,0.3,2003-04-09
2003,4,10,0.9,2003-04-10
2003,4,17,1.12,2003-04-17
2003,4,18,0.59,2003-04-18
2003,4,21,0.47,2003-04-21
2003,4,24,0.11,2003-04-24
2003,4,25,0.18,2003-04-25
2003,4,26,0.13,2003-04-26
2003,4,29,0.9,2003-04-29
2003,4,30,0.11,2003-04-30
2003,5,1,0.07,2003-05-01
2003,5,2,0.38,2003-05-02
2003,5,5,2.67,2003-05-05
2003,5,6,1.44,2003-05-06
2003,5,7,1.99,2003-05-07
2003,5,11,0.3,2003-05-11
2003,5,15,0.23,2003-05-15
2003,5,17,0.42,2003-05-17
2003,5,18,0.23,2003-05-18
2003,5,21,0.95,2003-05-21
2003,5,22,1.6,2003-05-22
2003,5,23,0.38,2003-05-23
2003,5,25,0.07,2003-05-25
2003,5,29,0.03,2003-05-29
2003,6,2,0.03,2003-06-02
2003,6,3,0.83,2003-06-03
2003,6,4,0.25,2003-06-04
2003,6,6,1.11,2003-06-06
2003,6,7,2.45,2003-06-07
2003,6,8,0.02,2003-06-08
2003,6,11,0.1,2003-06-11
2003,6,12,0.15,2003-06-12
2003,6,14,0.34,2003-06-14
2003,6,16,0.22,2003-06-16
2003,6,17,0.06,2003-06-17
2003,6,18,1.02,2003-06-18
2003,6,19,0.09,2003-06-19
2003,6,27,0.29,2003-06-27
2003,6,28,0.04,2003-06-28
2003,6,29,0.04,2003-06-29
2003,6,30,0.32,2003-06-30
2003,7,1,4.47,2003-07-01
2003,7,2,0.48,2003-07-02
2003,7,5,0.24,2003-07-05
2003,7,6,1.61,2003-07-06
2003,7,7,0.06,2003-07-07
2003,7,8,0.11,2003-07-08
2003,7,9,0.06,2003-07-09
2003,7,10,0.33,2003-07-10
2003,7,11,0.04,2003-07-11
2003,7,13,0.51,2003-07-13
2003,7,14,0.48,2003-07-14
2003,7,22,0.78,2003-07-22
2003,7,23,0.08,2003-07-23
2003,7,30,0.33,2003-07-30
2003,7,31,0.42,2003-07-31
2003,8,3,0.47,2003-08-03
2003,8,4,0.05,2003-08-04
2003,8,5,0.24,2003-08-05
2003,8,6,0.13,2003-08-06
2003,8,7,1.25,2003-08-07
2003,8,8,0.08,2003-08-08
2003,8,9,0.15,2003-08-09
2003,8,12,0.18,2003-08-12
2003,8,13,0.18,2003-08-13
2003,8,14,0.02,2003-08-14
2003,8,15,0.14,2003-08-15
2003,8,16,0.37,2003-08-16
2003,8,17,0.05,2003-08-17
2003,8,21,0.09,2003-08-21
2003,8,22,0.1,2003-08-22
2003,8,29,2.03,2003-08-29
2003,8,30,0.58,2003-08-30
2003,8,31,0.15,2003-08-31
2003,9,1,0.72,2003-09-01
2003,9,3,0.04,2003-09-03
2003,9,4,0.32,2003-09-04
2003,9,7,0.04,2003-09-07
2003,9,9,0.1,2003-09-09
2003,9,14,0.08,2003-09-14
2003,9,15,0.2,2003-09-15
2003,9,21,0.16,2003-09-21
2003,9,22,4.43,2003-09-22
2003,9,27,0.21,2003-09-27
2003,10,8,0.24,2003-10-08
2003,10,10,0.02,2003-10-10
2003,10,11,0.11,2003-10-11
2003,10,14,0.19,2003-10-14
2003,10,26,1.92,2003-10-26
2003,10,27,0.05,2003-10-27
2003,11,4,0.1,2003-11-04
2003,11,5,1.9,2003-11-05
2003,11,6,0.48,2003-11-06
2003,11,12,0.02,2003-11-12
2003,11,18,2.35,2003-11-18
2003,11,19,2.75,2003-11-19
2003,11,24,0.88,2003-11-24
2003,11,27,0.47,2003-11-27
2003,11,28,1.56,2003-11-28
2003,12,3,0.04,2003-12-03
2003,12,4,1.02,2003-12-04
2003,12,10,1.66,2003-12-10
2003,12,13,0.51,2003-12-13
2003,12,14,0.25,2003-12-14
2003,12,16,0.17,2003-12-16
2003,12,17,0.43,2003-12-17
2003,12,18,0.09,2003-12-18
2003,12,19,0.03,2003-12-19
2003,12,23,0.52,2003-12-23
2003,12,24,0.15,2003-12-24
2003,12,29,0.3,2003-12-29
2003,12,30,0.34,2003-12-30
2004,1,5,0.89,2004-01-05
2004,1,8,0.02,2004-01-08
2004,1,9,0.08,2004-01-09
2004,1,17,0.35,2004-01-17
2004,1,18,0.48,2004-01-18
2004,1,25,1.47,2004-01-25
2004,2,2,1.55,2004-02-02
2004,2,3,0.15,2004-02-03
2004,2,5,0.45,2004-02-05
2004,2,6,1.9,2004-02-06
2004,2,10,0.02,2004-02-10
2004,2,11,0.02,2004-02-11
2004,2,12,0.73,2004-02-12
2004,2,15,0.32,2004-02-15
2004,2,20,0.05,2004-02-20
2004,2,21,0.09,2004-02-21
2004,2,26,0.33,2004-02-26
2004,3,2,0.63,2004-03-02
2004,3,5,0.08,2004-03-05
2004,3,6,0.67,2004-03-06
2004,3,7,0.06,2004-03-07
2004,3,9,0.2,2004-03-09
2004,3,14,0.26,2004-03-14
2004,3,15,0.27,2004-03-15
2004,3,16,0.26,2004-03-16
2004,3,18,0.04,2004-03-18
2004,3,20,0.3,2004-03-20
2004,3,30,0.43,2004-03-30
2004,3,31,0.16,2004-03-31
2004,4,1,0.06,2004-04-01
2004,4,11,0.02,2004-04-11
2004,4,12,0.59,2004-04-12
2004,4,13,1.71,2004-04-13
2004,4,14,0.05,2004-04-14
2004,4,25,1.04,2004-04-25
2004,4,26,0.61,2004-04-26
2004,4,30,0.07,2004-04-30
2004,5,1,0.09,2004-05-01
2004,5,2,1.04,2004-05-02
2004,5,8,0.08,2004-05-08
2004,5,9,1,2004-05-09
2004,5,12,0.5,2004-05-12
2004,5,13,0.13,2004-05-13
2004,5,16,0.57,2004-05-16
2004,5,18,0.69,2004-05-18
2004,5,19,0.03,2004-05-19
2004,5,22,0.08,2004-05-22
2004,5,30,0.56,2004-05-30
2004,5,31,1.2,2004-05-31
2004,6,1,0.01,2004-06-01
2004,6,3,0.06,2004-06-03
2004,6,8,0.46,2004-06-08
2004,6,10,0.12,2004-06-10
2004,6,12,0.52,2004-06-12
2004,6,13,0.1,2004-06-13
2004,6,14,0.39,2004-06-14
2004,6,15,1.83,2004-06-15
2004,6,21,0.19,2004-06-21
2004,6,22,0.06,2004-06-22
2004,6,23,0.22,2004-06-23
2004,6,24,0.41,2004-06-24
2004,6,25,1.32,2004-06-25
2004,6,27,0.2,2004-06-27
2004,6,28,0.28,2004-06-28
2004,6,29,0.07,2004-06-29
2004,6,30,0.41,2004-06-30
2004,7,1,0.11,2004-07-01
2004,7,2,0.23,2004-07-02
2004,7,3,0.25,2004-07-03
2004,7,5,0.1,2004-07-05
2004,7,7,0.03,2004-07-07
2004,7,12,0.05,2004-07-12
2004,7,17,0.69,2004-07-17
2004,7,19,0.1,2004-07-19
2004,7,20,0.14,2004-07-20
2004,7,24,0.1,2004-07-24
2004,7,25,0.5,2004-07-25
2004,7,26,0.67,2004-07-26
2004,7,27,0.02,2004-07-27
2004,7,29,0.63,2004-07-29
2004,7,30,0.86,2004-07-30
2004,7,31,0.06,2004-07-31
2004,8,1,0.01,2004-08-01
2004,8,2,0.71,2004-08-02
2004,8,5,0.28,2004-08-05
2004,8,12,0.48,2004-08-12
2004,8,17,0.03,2004-08-17
2004,8,20,0.79,2004-08-20
2004,8,21,0.05,2004-08-21
2004,8,23,0.1,2004-08-23
2004,8,24,0.03,2004-08-24
2004,8,27,0.62,2004-08-27
2004,8,29,0.6,2004-08-29
2004,9,1,0.14,2004-09-01
2004,9,2,0.03,2004-09-02
2004,9,6,0.06,2004-09-06
2004,9,7,4.88,2004-09-07
2004,9,8,1.13,2004-09-08
2004,9,16,1.97,2004-09-16
2004,9,17,5.19,2004-09-17
2004,9,19,0.05,2004-09-19
2004,9,20,0.21,2004-09-20
2004,9,27,1.82,2004-09-27
2004,9,28,0.3,2004-09-28
2004,10,2,0.03,2004-10-02
2004,10,12,0.38,2004-10-12
2004,10,13,0.04,2004-10-13
